period,draw_date,n1,n2,n3,n4,n5,n6,special,draw_order,sales_amount,sales_count,prize_total,jackpot_winners,second_winners,third_winners,fourth_winners,fifth_winners,sixth_winners,seventh_winners,normal_winners,source,fetched_at
96000001,2007-01-02,13,21,23,27,31,49,19,,142307900,2846158,78269345,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000002,2007-01-05,12,19,23,42,44,48,33,,154604350,3092087,118929329,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000003,2007-01-09,26,28,35,39,44,45,18,,160225100,3204502,164817501,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000004,2007-01-12,10,16,26,28,31,33,44,,181952450,3639049,208800728,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000005,2007-01-16,13,28,33,38,43,48,4,,196840750,3936815,260180412,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000006,2007-01-19,6,26,27,44,45,46,2,,240713950,4814279,331321650,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000007,2007-01-23,6,7,15,31,36,44,29,,280766050,5615321,409970178,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000008,2007-01-26,8,13,18,26,34,36,17,,336386450,6727729,507466559,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000009,2007-01-30,6,18,26,39,42,45,14,,140860300,2817206,77473165,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000010,2007-02-02,7,8,10,12,47,48,38,,154647600,3092952,122577361,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000011,2007-02-06,12,16,26,32,41,48,1,,160554900,3211098,155580638,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000012,2007-02-09,7,28,30,41,45,48,44,,181553550,3631071,205942912,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000013,2007-02-13,2,8,25,39,43,46,13,,200382050,4007641,259567081,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000014,2007-02-16,18,19,27,34,44,48,37,,246330550,4926611,242496125,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000015,2007-02-20,1,13,19,33,38,45,36,,718141700,14362834,651981264,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000016,2007-02-23,5,13,25,30,39,48,36,,1313372350,26267447,1143043827,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000017,2007-02-27,6,22,36,39,48,49,28,,190274100,3805482,161192310,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000018,2007-03-02,12,15,24,32,39,49,6,,193897100,3877942,106643405,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000019,2007-03-06,2,15,16,31,33,46,40,,169993150,3399863,139712026,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000020,2007-03-09,12,14,20,21,23,31,45,,196225550,3924511,201217282,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000021,2007-03-13,4,13,22,24,26,41,28,,207689200,4153784,245804198,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000022,2007-03-16,28,35,36,38,43,49,47,,238181950,4763639,306231032,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000023,2007-03-20,14,15,25,37,47,49,13,,290435500,5808710,389995126,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000024,2007-03-23,5,6,17,19,20,32,18,,155548750,3110975,85551812,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000025,2007-03-27,4,11,21,39,42,43,10,,144034050,2880681,114595601,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000026,2007-03-30,14,31,33,40,45,46,49,,161782100,3235642,157626134,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000027,2007-04-03,4,10,39,43,45,49,33,,130339600,2606792,77365163,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000028,2007-04-06,10,18,22,34,35,37,41,,137886550,2757731,154320838,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000029,2007-04-10,2,4,6,20,42,47,39,,128344750,2566895,70589612,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000030,2007-04-13,5,15,23,28,31,33,49,,147722650,2954453,111192283,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000031,2007-04-17,8,31,40,44,45,48,6,,144194150,2883883,141461825,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000032,2007-04-20,9,15,16,19,44,49,37,,157636050,3152721,181227211,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000033,2007-04-24,8,20,22,25,38,40,41,,165647900,3312958,229125992,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000034,2007-04-27,9,10,29,32,38,42,37,,208416500,4168330,283970642,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000035,2007-05-01,21,24,28,34,45,49,46,,274696800,5493936,369128378,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000036,2007-05-04,6,22,34,38,40,44,15,,129525900,2590518,71239245,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000037,2007-05-08,1,16,27,28,41,46,38,,131697300,2633946,103310769,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000038,2007-05-11,10,13,21,26,29,47,49,,145510700,2910214,147292565,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000039,2007-05-15,13,31,35,40,47,48,39,,149071600,2981432,177731165,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000040,2007-05-18,11,12,27,41,43,46,36,,171320050,3426401,230709694,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000041,2007-05-22,1,18,30,32,41,48,24,,192432850,3848657,275763131,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000042,2007-05-25,2,11,13,25,34,36,38,,285672200,5713444,373886772,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000043,2007-05-29,10,15,18,43,45,48,11,,323419450,6468389,458773898,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000044,2007-06-01,7,8,11,25,34,43,16,,452408600,9048172,605353119,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000045,2007-06-05,1,16,23,25,36,47,21,,112509650,2250193,61880307,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000046,2007-06-08,1,2,11,26,28,46,16,,116103000,2322060,90764652,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000047,2007-06-12,3,5,20,38,39,44,43,,130875350,2617507,125910629,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000048,2007-06-15,11,17,28,34,36,46,26,,159262400,3185248,170390015,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000049,2007-06-19,20,28,33,41,43,45,10,,247688100,4953762,354405147,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000050,2007-06-22,13,32,35,39,41,42,1,,401882100,8037642,606428426,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000051,2007-06-26,18,24,37,38,43,47,2,,474816700,9496334,730804249,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000052,2007-06-29,9,23,26,28,29,44,31,,122338900,2446778,67286395,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000053,2007-07-03,1,5,9,21,24,49,35,,128894300,2577886,101773501,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000054,2007-07-06,9,12,23,36,44,48,26,,149175050,2983501,157054509,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000055,2007-07-10,2,29,34,40,44,45,1,,124847750,2496955,68666262,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000056,2007-07-13,5,10,13,18,34,35,15,,136586650,2731733,144616596,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000057,2007-07-17,15,29,37,39,48,49,46,,124814850,2496297,68648167,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000058,2007-07-20,2,5,10,19,23,25,11,,137839050,2756781,104906693,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000059,2007-07-24,1,7,12,22,29,31,4,,134937200,2698744,134817248,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000060,2007-07-27,13,21,32,39,42,46,36,,151053950,3021079,173679906,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000061,2007-07-31,1,6,7,25,39,41,5,,124923500,2498470,68707925,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000062,2007-08-03,2,12,15,27,38,40,35,,133002750,2660055,102031524,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000063,2007-08-07,1,5,18,25,35,41,14,,132260050,2645201,130921687,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000064,2007-08-10,11,22,27,29,35,40,48,,152539800,3050796,177563323,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000065,2007-08-14,2,5,12,25,26,38,6,,114997650,2299953,63248707,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000066,2007-08-17,2,12,31,35,43,47,40,,128860900,2577218,94829065,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000067,2007-08-21,16,24,25,38,42,46,6,,125635450,2512709,124624058,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000068,2007-08-24,4,6,7,12,25,47,9,,138462600,2769252,160586247,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000069,2007-08-28,2,11,22,29,34,39,45,,143661350,2873227,194235108,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000070,2007-08-31,23,31,35,40,41,44,21,,173966350,3479327,243042712,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000071,2007-09-04,9,17,18,21,42,48,7,,191660500,3833210,291708440,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000072,2007-09-07,3,5,22,32,42,49,28,,132918100,2658362,73104955,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000073,2007-09-11,3,14,18,22,28,36,47,,129542000,2590840,107697542,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000074,2007-09-14,2,15,22,27,45,48,32,,139684750,2793695,139065979,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000075,2007-09-18,20,25,29,31,37,46,49,,108554900,2171098,159549525,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000076,2007-09-21,1,16,24,31,35,39,21,,201060050,4021201,210583027,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000077,2007-09-25,8,10,12,28,38,42,33,,287981200,5759624,404058759,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000078,2007-09-28,8,9,16,17,19,30,45,,289366150,5787323,461415175,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000079,2007-10-02,3,4,8,9,24,49,23,,377397150,7547943,574383430,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000080,2007-10-05,3,10,19,26,29,48,18,,129930700,2598614,71461885,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000081,2007-10-09,9,36,38,40,46,47,13,,135773600,2715472,143426078,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000082,2007-10-12,9,20,23,26,28,37,44,,139867200,2797344,81776005,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000083,2007-10-16,5,7,11,18,38,40,31,,139624600,2792492,117843585,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000084,2007-10-19,15,17,22,28,36,46,24,,154221150,3084423,164190864,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000085,2007-10-23,10,25,29,34,47,49,17,,132897100,2657942,73093405,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000086,2007-10-26,3,11,13,16,21,36,26,,146544650,2930893,151272244,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000087,2007-10-30,1,4,9,17,19,41,7,,133586300,2671726,73472465,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000088,2007-11-02,4,10,28,44,45,48,39,,141799000,2835980,145840253,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000089,2007-11-06,1,10,27,40,43,44,2,,130744600,2614892,76898198,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000090,2007-11-09,1,2,6,12,18,24,25,,142437600,2848752,109233295,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000091,2007-11-13,3,5,16,17,32,37,24,,140135100,2802702,138899642,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000092,2007-11-16,16,20,22,39,42,46,38,,153718200,3074364,178132251,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000093,2007-11-20,1,16,17,20,22,42,29,,188970500,3779410,203933775,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000094,2007-11-23,1,22,23,43,46,49,33,,267306050,5346121,392795856,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000095,2007-11-27,8,12,16,34,36,47,33,,362445000,7248900,608294908,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000096,2007-11-30,8,15,16,19,30,45,44,,849767200,16995344,1056766813,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000097,2007-12-04,1,16,31,38,43,44,42,,1664370950,33287419,1798524187,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000098,2007-12-07,8,10,17,28,32,34,42,,197410700,3948214,208575885,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000099,2007-12-11,10,15,16,20,27,43,19,,214072500,4281450,217739875,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000100,2007-12-14,1,17,26,27,34,39,13,,223781550,4475631,223079852,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000101,2007-12-18,4,7,13,19,23,49,17,,300706100,6014122,416844129,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000102,2007-12-21,15,19,20,22,28,44,42,,232809400,4656188,238906257,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000103,2007-12-25,5,6,9,18,31,37,32,,407666450,8153329,424216547,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000104,2007-12-28,10,12,16,18,22,29,30,,545732950,10914659,589420775,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
97000001,2008-01-01,13,18,27,43,47,48,21,,154936500,3098730,85215075,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000002,2008-01-04,5,13,29,31,39,40,33,,206493950,4129879,164806159,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000003,2008-01-08,3,7,12,17,28,44,36,,184121700,3682434,101266935,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000004,2008-01-11,3,7,8,27,37,49,48,,209608150,4192163,155232176,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000005,2008-01-15,5,8,10,31,32,41,11,,185077350,3701547,190733695,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000006,2008-01-18,6,8,18,25,26,36,13,,210380150,4207603,246274249,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000007,2008-01-22,9,13,14,26,30,37,5,,163455400,3269108,153619458,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000008,2008-01-25,1,4,15,20,24,40,32,,152307200,3046144,83768960,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000009,2008-01-29,21,34,38,41,42,49,25,,156173400,3123468,155555686,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000010,2008-02-01,1,2,6,18,20,38,29,,171903800,3438076,94547090,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000011,2008-02-05,17,29,30,33,35,42,10,,199984800,3999696,163768749,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000012,2008-02-08,1,3,6,7,15,27,39,,252972400,5059448,139134820,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000013,2008-02-12,5,12,19,22,25,27,29,,275942750,5518855,206960163,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000014,2008-02-15,1,22,31,41,42,46,36,,199276000,3985520,109601800,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000015,2008-02-19,16,22,26,31,39,43,9,,184463600,3689272,149124600,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000016,2008-02-22,1,3,7,12,30,43,22,,198128000,3962560,199269660,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000017,2008-02-26,6,16,33,37,40,47,28,,185429750,3708595,236681954,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000018,2008-02-29,1,7,9,10,18,27,43,,209713300,4194266,300835270,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000019,2008-03-04,1,15,22,25,38,47,16,,210406400,4208128,337396535,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000020,2008-03-07,12,25,28,40,41,42,29,,153941850,3078837,84668017,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000021,2008-03-11,7,8,21,30,36,44,4,,146966950,2939339,121431822,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000022,2008-03-14,3,21,30,34,44,49,13,,151624000,3032480,162497845,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000023,2008-03-18,1,9,27,33,38,49,31,,143842450,2876849,201349242,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000024,2008-03-21,11,14,27,32,34,49,28,,168593250,3371865,230644477,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000025,2008-03-25,2,3,5,13,33,49,10,,163237250,3264745,274252478,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000026,2008-03-28,1,8,9,12,19,26,49,,178288500,3565770,313935577,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000027,2008-04-01,8,16,24,25,32,33,12,,116510550,2330211,64080802,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000028,2008-04-04,13,23,28,30,38,44,26,,124814650,2496293,99009108,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000029,2008-04-08,11,23,29,32,37,39,31,,137876450,2757529,129608869,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000030,2008-04-11,5,6,23,25,28,42,43,,151434550,3028691,173936491,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000031,2008-04-15,13,20,32,33,43,47,28,,147890650,2957813,211363649,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000032,2008-04-18,4,13,25,35,38,43,30,,160755900,3215118,243907228,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000033,2008-04-22,10,15,31,36,44,49,7,,124772950,2495459,68625122,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000034,2008-04-25,4,15,20,45,47,48,34,,138623250,2772465,105017005,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000035,2008-04-29,2,3,11,32,35,42,18,,130023950,2600479,133429046,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000036,2008-05-02,11,13,14,33,39,45,41,,136796350,2735927,167555013,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000037,2008-05-06,9,10,15,23,46,48,38,,131232500,2624650,196485139,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000038,2008-05-09,15,17,23,36,43,48,21,,123778850,2475577,68078367,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000039,2008-05-13,11,31,37,38,41,47,18,,122097200,2441944,142629331,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000040,2008-05-16,3,7,21,22,26,40,41,,121653350,2433067,76071110,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000041,2008-05-20,8,14,17,42,45,47,39,,117856100,2357122,104758363,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000042,2008-05-23,2,10,11,29,37,44,13,,118987900,2379758,120443118,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000043,2008-05-27,4,7,15,24,41,49,30,,112872100,2257442,144248916,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000044,2008-05-30,8,11,12,20,32,42,30,,116967400,2339348,172656230,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000045,2008-06-03,1,20,24,27,29,31,4,,118347000,2366940,198980870,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000046,2008-06-06,1,20,22,31,40,42,38,,144416400,2888328,241010357,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000047,2008-06-10,14,19,20,22,34,39,37,,154801250,3096025,280702495,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000048,2008-06-13,7,8,20,21,31,39,6,,203297450,4065949,349724956,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000049,2008-06-17,1,7,15,32,40,41,9,,178083850,3561677,377178077,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000050,2008-06-20,3,20,21,24,28,39,23,,216380700,4327614,439197416,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000051,2008-06-24,2,7,8,20,33,43,4,,288952800,5779056,529150518,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000052,2008-06-27,1,2,9,10,38,41,31,,114995250,2299905,63247387,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000053,2008-07-01,15,20,24,35,43,48,9,,124966750,2499335,97208846,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000054,2008-07-04,6,10,17,21,43,49,33,,132861950,2657239,136352956,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000055,2008-07-08,14,23,32,33,36,42,3,,127008300,2540166,156412238,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000056,2008-07-11,7,21,22,23,34,36,11,,146261950,2925239,196279544,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000057,2008-07-15,6,16,21,36,37,45,40,,123034250,2460685,67668837,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000058,2008-07-18,4,6,9,15,20,38,27,,117250200,2345004,144438788,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000059,2008-07-22,1,17,25,29,30,33,47,,119998450,2399969,65999147,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000060,2008-07-25,7,19,25,29,35,43,1,,129951300,2599026,98407340,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000061,2008-07-29,16,39,41,42,43,45,14,,110132200,2202644,122016668,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000062,2008-08-01,7,11,18,22,37,38,30,,134696900,2693938,166044753,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000063,2008-08-05,5,10,29,41,44,45,6,,122061600,2441232,67133880,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000064,2008-08-08,8,16,20,33,35,49,24,,137283600,2745672,146731496,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000065,2008-08-12,16,22,24,33,43,49,45,,121627800,2432556,66895290,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000066,2008-08-15,8,14,23,24,43,44,4,,124389450,2487789,102114319,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000067,2008-08-19,2,16,25,35,39,43,26,,120444700,2408894,133671700,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000068,2008-08-22,4,5,8,26,31,37,10,,135753950,2715079,175106830,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000069,2008-08-26,2,4,6,18,23,24,32,,211922700,4238454,333588691,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000070,2008-08-29,2,24,25,26,28,46,49,,377524050,7550481,579896517,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000071,2008-09-02,2,3,10,21,25,34,47,,575542550,11510851,769755320,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000072,2008-09-05,2,3,14,22,32,33,24,,129740300,2594806,71357165,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000073,2008-09-09,10,23,27,28,35,46,2,,134273100,2685462,108748604,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000074,2008-09-12,1,9,16,18,34,37,12,,145250250,2905005,150688926,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000075,2008-09-16,2,25,31,32,44,46,7,,142637150,2852743,171999446,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000076,2008-09-19,2,13,23,28,35,48,18,,162645100,3252902,217586221,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000077,2008-09-23,2,9,20,22,29,35,38,,167119350,3342387,256862560,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000078,2008-09-26,15,29,30,36,41,42,39,,129594650,2591893,71277057,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000079,2008-09-30,1,7,9,13,22,27,34,,123138650,2462773,141914484,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000080,2008-10-03,18,19,37,41,45,48,9,,134275750,2685515,77856937,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000081,2008-10-07,1,20,28,29,33,34,40,,129163400,2583268,112248275,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000082,2008-10-10,13,14,20,24,41,47,6,,126148350,2522967,144522461,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
97000083,2008-10-14,8,28,30,43,44,46,12,,139653100,2793062,168785907,,,,,,,,,taiwanlottery_result_download_2008,2026-07-01T14:04:02
